nitrate_mid,phosphate_mid,avg_spills,n_overflows,spills_per_pipe,lc_woodland_1km,lc_arable_1km,lc_grass_1km,lc_wetland_1km,lc_urban_1km,lc_water_1km,lc_woodland_5km,lc_arable_5km,lc_grass_5km,lc_wetland_5km,lc_urban_5km,lc_water_5km
7.5,0.75,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.15,0.0,0.0,0.0,3.96888711607499,59.93218986836857,25.069804547267648,0.0,9.254088552054249,1.336258476266454,7.369713005985351,17.38222565810971,37.54433224677819,0.0,34.18344982585894,3.2771990786862517
7.5,0.01,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.01,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.15,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.01,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.01,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,1.5,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
3.5,0.035,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.35,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
7.5,0.01,0.0,0.0,0.0,5.1164642643838345,51.26418475014931,21.95898865219988,0.0,17.360143340633087,3.583515827194903,7.335968883504432,15.873876171650831,36.68622074858126,0.0,36.42877638206976,3.4663329720079066
7.5,0.15,0.0,0.0,0.0,4.764752791068581,54.42583732057417,22.747208931419458,0.0,14.673046251993622,2.8309409888357258,7.330001514463123,16.39207058992324,37.01029037837665,0.0,35.66241819906422,3.38920905170696
0.75,0.035,0.0,0.0,0.0,15.743324033479476,40.33479473893982,42.56675966520526,0.0,1.3551215623754485,0.0,20.02630110783454,47.73172870008767,27.09651709572009,0.5475412449191042,4.409022076990516,0.1681676894875269
3.5,0.035,16.645,2.0,17.5,8.296769046669326,33.34662943757479,49.84044674910251,0.0,8.51615476665337,0.0,19.79720519422545,47.72214560730826,29.939336931134264,0.0,2.440871443717267,0.1004408236147536
7.5,0.075,16.645,2.0,17.5,9.190590111642743,30.44258373205741,51.87400318979266,0.0,8.492822966507177,0.0,19.493200695075487,47.866947247596734,30.156073142346997,0.0,2.383343695697228,0.1004352192835621
7.5,0.01,16.645,2.0,17.5,8.707753479125248,31.351888667992046,51.51093439363817,0.0,8.429423459244532,0.0,19.58952695970988,47.89064679392659,29.99800741242577,0.0,2.4213924201968675,0.1004264137408839
1.5,0.01,16.645,2.0,17.5,9.67549273342624,29.006569779016523,53.73282898666136,0.0,7.585108500895879,0.0,19.350724914915155,48.17276806707954,29.95066274519181,0.0,2.4254162581797023,0.1004280146337964
1.5,0.01,16.645,2.0,17.5,9.67549273342624,29.006569779016523,53.73282898666136,0.0,7.585108500895879,0.0,19.350724914915155,48.17276806707954,29.95066274519181,0.0,2.4254162581797023,0.1004280146337964
1.5,0.01,16.645,2.0,17.5,9.67549273342624,29.006569779016523,53.73282898666136,0.0,7.585108500895879,0.0,19.350724914915155,48.17276806707954,29.95066274519181,0.0,2.4254162581797023,0.1004280146337964
3.5,0.075,16.645,2.0,17.5,8.567443713887227,32.5961346881849,49.71109782825264,0.0,9.125323769675234,0.0,19.69379378501805,47.4930462019112,30.341672577727124,0.0,2.371065823975261,0.100421611368364
3.5,0.075,16.645,2.0,17.5,8.567443713887227,32.5961346881849,49.71109782825264,0.0,9.125323769675234,0.0,19.69379378501805,47.4930462019112,30.341672577727124,0.0,2.371065823975261,0.100421611368364
7.5,0.035,16.645,2.0,17.5,8.8194306191519,31.037228747760302,51.90125423053952,0.0,8.242086402548278,0.0,19.56450700184112,47.92096726629313,29.99195007452159,0.0,2.422150844445153,0.1004248128990093
7.5,0.035,16.645,2.0,17.5,8.8194306191519,31.037228747760302,51.90125423053952,0.0,8.242086402548278,0.0,19.56450700184112,47.92096726629313,29.99195007452159,0.0,2.422150844445153,0.1004248128990093
